,player,main.filter_depth.value_path,main.filter_depth.value_max,main.filter_depth.value_sum,main.filter_depth.value_levelmean,main.filter_depth.value_EV,main.filter_rank.value_path,main.filter_rank.value_max,main.filter_rank.value_sum,main.filter_rank.value_levelmean,main.filter_rank.value_EV,main.filter_value.value_path,main.filter_value.value_max,main.filter_value.value_sum,main.filter_value.value_levelmean,main.filter_value.value_EV
35,user40,-433.6896056411697,-432.38098139731574,-433.6896056411697,-428.46765542190474,-435.4927623924862,-513.9360523837198,-650.1327999912814,-623.7476620387022,-484.3552281002745,-515.8433439563823,-520.0179819541662,-654.5780472744962,-627.3939523799498,-489.08775243769105,-520.1191543655514
36,user41,-585.8409907650326,-585.8409907650328,-585.8409907650326,-585.8409907650326,-583.4815360372817,-637.8229685349232,-685.7847975181921,-676.3711416597707,-610.870519925827,-628.0946398954993,-636.9607784261336,-687.1302213024987,-679.0250207039041,-615.626076623113,-630.4294992576349
37,user42,-445.6543280936061,-479.6613700846638,-479.54889903808595,-456.16036504895203,-438.3424385294947,-461.4704519155332,-611.2017435252401,-599.8801169499866,-473.0679237066167,-449.78623539077,-465.02687470127705,-613.342507186417,-606.8718964911154,-479.61261462288695,-450.9823812728841
38,user43,-308.4772865564471,-308.4772865564471,-308.4772865564471,-308.477286556447,-353.61646264709304,-441.59070651825397,-632.175592405509,-613.4746486858298,-426.883424889587,-484.4585956977749,-450.9261248772931,-639.6914446482026,-615.0015313827347,-435.62335434931504,-487.80851058869297
39,user44,-709.2663982228105,-711.3334318785705,-710.2805755387164,-708.5491087644234,-707.5244728109603,-710.5292086129342,-713.0326443424135,-710.5458362810936,-704.8961820583974,-710.6070432520485,-712.641603787059,-714.0172568600092,-710.9672722100211,-707.5883380885541,-711.3115164336796
40,user45,-292.083068594179,-292.083068594179,-292.08306859417917,-292.083068594179,-344.80231251392746,-441.8259442941232,-640.7847705820117,-615.0321262152061,-429.63604565363767,-465.66242759697076,-449.9404986743257,-647.6987420854487,-622.0773678663224,-432.2728217307731,-469.4867256892133
41,user46,-384.8626041460986,-384.8626041460986,-384.86260414609853,-384.86260414609853,-470.8298338033945,-485.1774094984004,-654.9023162902647,-615.8878802721297,-464.14886436780944,-552.3369454790851,-490.5738243985045,-652.1931902419983,-623.9157684327482,-471.3453465122985,-554.4658326126802
42,user47,-537.1228295423994,-545.1757533798789,-545.1757533798789,-531.4363196546583,-531.9287180184978,-572.027785003532,-676.5548629330905,-646.0673001104794,-561.3728652932623,-560.4726000689266,-576.8261419756928,-678.4644259567403,-646.5996252201221,-561.3728652932623,-561.1927927690199
43,user48,-582.3552828191857,-582.5121468801044,-582.5121468801043,-582.5121468801045,-588.2980806738317,-644.1388396229854,-701.0848575647412,-699.503300100755,-629.5379597043468,-648.1117948439248,-639.4635880360139,-699.0235454069363,-696.4735652471184,-626.4176046864651,-644.2787890919014
44,user49,-723.1088312935653,-722.097193972595,-721.988521447124,-722.3785890549975,-726.655852205788,-722.7047231310368,-721.1804739970837,-721.5455780218485,-722.9753851437665,-726.0941635877978,-722.3444733751004,-723.3194064197869,-720.8246404948683,-722.2315109311967,-726.14174707194
