player,main.filter_depth.value_path,main.filter_depth.value_max,main.filter_depth.value_sum,main.filter_depth.value_levelmean,main.filter_depth.value_EV,main.filter_rank.value_path,main.filter_rank.value_max,main.filter_rank.value_sum,main.filter_rank.value_levelmean,main.filter_rank.value_EV,main.filter_value.value_path,main.filter_value.value_max,main.filter_value.value_sum,main.filter_value.value_levelmean,main.filter_value.value_EV
user21,-394.66496879993394,-394.66496879993394,-394.66496879993394,-394.66496879993406,-395.80186258568784,-488.5400477654886,-646.8040799784515,-609.4089867830758,-459.1105933013523,-496.67452061502223,-494.61536649578034,-650.4280610028267,-614.6396622357952,-461.62868593456517,-497.16658370929696
user22,-480.87744105248464,-480.8774410524846,-480.87744105248464,-480.8774410524847,-497.4202813289791,-539.7428440048212,-659.0151586029124,-640.0654101426692,-534.4628489727245,-560.7838907757687,-543.1907579077762,-660.5853615768369,-638.8856377773636,-532.7858662545071,-561.6425543333119
user23,-385.428261311549,-429.3878399797902,-424.54221207830193,-397.4458938637017,-398.6781145768631,-445.27657527632226,-629.601776774637,-608.5774583134591,-449.6577740472414,-452.3568148680093,-441.0556706000003,-629.4706593926819,-611.1642137503,-446.33365571926413,-448.8493906266814
user24,-492.3922786808923,-492.0536472288256,-492.3922786808923,-492.3922786808923,-484.5837568689902,-575.9713586748118,-672.3879772896048,-665.1080500264245,-540.6578764644005,-571.7236886268417,-574.9616127483396,-673.3334000243574,-668.5556614127634,-543.6541113181981,-570.3814764887431
user25,-436.99439318043596,-436.99439318043596,-436.99439318043596,-436.9943931804359,-467.1580403135326,-559.1676929264894,-675.7722920552965,-665.4424342429741,-537.8650733443266,-587.2650839036187,-561.8898025011151,-672.0270665747603,-663.2132604652408,-538.9711029099981,-588.6371068592546
user26,-407.5733165008396,-407.57331650083955,-407.57331650083955,-407.57331650083967,-395.759778390928,-537.776543886228,-662.0678589959732,-632.8677860586153,-477.93085096926967,-538.0875561358387,-547.9012866720686,-668.6616653817948,-635.6734670522628,-480.7116812022894,-547.9142696062295
user27,-370.53211832792186,-370.5321183279219,-370.53211832792186,-370.30623946267383,-458.55044445225064,-472.2003196652184,-645.5571036655798,-613.7642275559494,-437.52857413811273,-539.4522602459288,-472.28489530097227,-643.8637792794378,-614.0944964848201,-436.00815796242745,-539.8472892053418
user28,-344.7653816107162,-344.7653816107162,-344.76538161071613,-344.7653816107162,-346.04279872588944,-489.95188566305995,-668.6832721205571,-639.8996600679797,-475.4984371051343,-491.8478629266253,-492.26255367971265,-671.1919451003862,-640.9339092797509,-475.4984371051343,-493.38859937246826
user29,-512.8485738324914,-512.8485738324919,-512.8485738324919,-512.8485738324928,-500.02871447344313,-603.7132291967202,-685.4487860632755,-675.547812943566,-579.9510798742397,-590.3476998520348,-607.0726841253309,-687.7987237430641,-676.3913612160579,-578.7576994531114,-593.9630990657793
user3,-426.8606684758326,-426.8606684758326,-426.8606684758326,-426.8606684758326,-439.5349705697592,-519.6981448167339,-671.6400854186513,-632.4155201246472,-487.1940706351391,-524.3288455360193,-522.34930157042,-675.0118205292788,-636.6515045726555,-489.16888170928814,-527.9657809002582
