,player,main.filter_depth.value_path,main.filter_depth.value_max,main.filter_depth.value_sum,main.filter_depth.value_levelmean,main.filter_rank.value_path,main.filter_rank.value_max,main.filter_rank.value_sum,main.filter_rank.value_levelmean,main.filter_value.value_path,main.filter_value.value_max,main.filter_value.value_sum,main.filter_value.value_levelmean
52,user56,-313.60482043101973,-313.6048204310197,-313.6048204310197,-313.6048204310196,-336.4851772318842,-374.81020715677533,-366.6671154506328,-330.92505467302453,-338.5088464574442,-375.25617610173475,-367.337242844518,-332.42679481692977
53,user57,-98.40324229086275,-98.4032422908628,-98.40324229086272,-98.40324229086275,-217.4477387376247,-341.0104956106103,-330.2008145899938,-212.48298280213484,-218.44197775011423,-344.8476027676364,-334.5132601839029,-215.29730315698706
54,user58,-245.02394157040092,-245.02394157040092,-245.02394157040092,-245.02394157040095,-291.95119098570484,-356.70135898369443,-346.8594415138005,-278.0093090206379,-293.89379602364426,-357.64810167655645,-349.6781589888671,-279.8907399578333
55,user59,-387.139166855678,-387.188899192473,-387.16698202600713,-386.9465279108343,-386.0394373548942,-387.2694001974631,-387.42808232861864,-385.6111666164156,-386.73784368899095,-387.49216422735464,-387.663708307592,-386.34409951152116
56,user6,-198.83322787169152,-198.8332278716915,-198.83322787169155,-198.83322787169152,-272.9730358917159,-356.70354135297265,-353.1641378970094,-262.9212111168325,-278.07448122847717,-359.21580896616587,-354.47961501250717,-265.85837924009746
57,user60,-387.08014399016446,-386.96887970179034,-386.4221478114243,-386.6648636463909,-386.1078083248744,-386.1138650225693,-386.0803143811407,-386.1450833743505,-386.5647600520967,-387.2558802838891,-386.2464628935725,-386.3558312282757
58,user61,-185.74938206444224,-185.74938206444227,-185.74938206444224,-185.74938206444224,-267.9936445187831,-344.6372257625696,-338.45807318746625,-252.4933508870278,-271.45318077449394,-346.1844198677988,-340.06804916558696,-254.05648485759485
59,user62,-354.1156516872035,-352.4604641716635,-354.1156516872035,-354.1156516872034,-368.7030197721545,-378.9262721848551,-378.9923791814003,-367.18298886894917,-368.7352322451314,-379.48809725947643,-375.47568601757524,-365.51826590424656
60,user63,-256.29359369477623,-256.29359369477623,-256.29359369477623,-256.29359369477623,-298.49092550977196,-365.5003226313218,-356.28620198521617,-291.562887092294,-297.64741640298627,-366.0650315848812,-357.23826819735666,-290.67693789726053
61,user64,-387.10542669034965,-387.20587734592146,-387.57126469792274,-387.4466871809511,-386.2078289646676,-387.05776047212083,-387.534715775339,-387.2445867294833,-386.96574643531693,-387.4748034230641,-387.3333404740958,-387.2001446845907
62,user65,-233.18152978211546,-233.1815297821155,-233.1815297821155,-233.1815297821155,-299.4490279829662,-359.7330020407205,-351.0350534705761,-278.87185123776476,-302.3646565475022,-359.5497089128074,-350.6726870699538,-280.64029550058996
63,user66,-327.61883549637486,-331.32327597792624,-328.1718881378977,-326.1868038313168,-336.43921233086047,-367.6203710852273,-358.82836833798655,-335.5731242656188,-336.6708600272113,-367.310938433379,-357.7473313719324,-335.08813307242104
64,user67,-381.02137066529946,-380.4116363367635,-381.02137066529946,-381.02137066529946,-383.0768952328826,-386.0475372472493,-384.3635571028875,-381.9406623389922,-383.75952054963153,-387.035756010871,-385.9320749386631,-382.9851827767029
65,user68,-183.9479886320353,-183.94798863203533,-183.9479886320353,-183.9479886320353,-247.2179194872295,-346.92202574048076,-340.69741030431993,-244.4740220652568,-246.49127215243618,-348.81026454944873,-343.92039119263546,-245.10346160798187
66,user69,-317.0391570093371,-317.0391570093371,-317.03915700933703,-317.0391570093371,-336.2961930331421,-367.2481752550903,-367.44176633515013,-336.1646692688283,-336.98753511211646,-367.03961324595565,-367.00580699236576,-336.19938409821884
67,user7,-273.6619121759877,-273.6619121759877,-273.6619121759877,-273.6619121759877,-307.8979531782707,-364.79469919883974,-362.31154766657403,-311.60537248239746,-306.7031142422609,-365.511079519872,-363.9686871732336,-313.41095903059426
68,user70,-326.64199143414083,-326.64199143414083,-326.64199143414083,-326.64199143414083,-347.4218938372108,-373.6064543974353,-365.17446292287724,-343.86239337239294,-350.2168649178632,-376.31626659396676,-367.73162483021355,-345.2817986834146
69,user71,-80.27195796287202,-80.27195796287184,-80.2719579628718,-80.27195796287171,-222.74510010817195,-338.31658478968717,-322.318156558069,-198.5874204316244,-227.1144453686717,-340.5225110510474,-326.7387088595658,-201.69240650871677
70,user72,-291.8217562960247,-290.0644131905995,-291.82175629602483,-291.8217562960248,-327.0791378971717,-363.8471820329895,-356.4315065751041,-314.0182944040644,-328.13204499691966,-362.0676108654341,-354.5057544253372,-311.9745836021693
71,user73,-386.3508747978431,-385.3841020221086,-385.93505398602264,-386.38510591703226,-386.66537921143293,-386.68290302283395,-386.890991428767,-386.82003265769725,-386.59532077561056,-386.83016973215695,-387.14546398598446,-386.5403139383175
72,user74,-349.19556514834244,-349.1955651483424,-349.1955651483424,-349.19556514834244,-361.14421271524026,-380.1888483870585,-376.3423771322294,-359.20392183415044,-360.8290210161868,-380.2258748579615,-376.0243992498743,-357.43773611716216
73,user75,-384.37776839642885,-384.4087549515837,-384.5152515414324,-384.908372388588,-384.407523146604,-384.19058554539725,-385.81458436213944,-385.4880261076067,-385.2051503979299,-384.46464647140243,-386.4381287320612,-385.02463904706764
74,user76,-298.00284187133326,-298.00284187133326,-298.00284187133326,-298.00284187133326,-331.7302260241002,-370.6217497246883,-367.907526247376,-328.5973931156299,-332.32542924880846,-374.96278735934226,-370.8730658627655,-329.709135621499
75,user77,-102.24219110645711,-102.24219110645714,-102.24219110645717,-102.24219110645711,-224.48032635277943,-338.19394825786645,-322.4504563584909,-196.253608100664,-230.21147950375004,-339.5288603097345,-324.18226627362924,-196.61110035584346
76,user78,-383.8187356659184,-383.0245363992863,-384.34601434774453,-383.61238182713106,-385.09601005337987,-383.34881672253624,-385.4212268781749,-383.44261834511366,-385.19080959055515,-385.18568350090476,-385.58653097908945,-383.2424322074825
77,user79,-260.0713836302062,-260.0713836302061,-260.0713836302061,-260.0713836302061,-299.46611749776827,-360.64372522336697,-347.801845747591,-290.87874144760985,-301.6225445228068,-363.0870430644134,-350.81874337117864,-293.9430354418569
78,user8,-318.8349192769028,-320.36271553802834,-320.3627155380284,-320.3627155380284,-333.6925533190585,-369.33993053837025,-362.25976452923527,-333.2149092097591,-332.69154306386105,-372.3989554745007,-359.9281519466851,-334.46591104638816
79,user80,-222.96248791829592,-222.96248791829592,-222.96248791829595,-222.96248791829592,-277.6498404936882,-350.8600152470471,-338.09428462020986,-264.46083746408806,-276.6581812440563,-355.20959644130465,-337.4089915190157,-265.43776255477457
80,user81,-374.0726021940198,-373.2609152720559,-374.0726021940198,-374.0726021940198,-376.8205655421544,-380.89559004138727,-381.11292778825214,-376.70038644035156,-376.8083076822627,-381.7467257807161,-380.86466020906295,-375.8225592825227
81,user82,-363.8569087391482,-363.8569087391482,-363.8569087391482,-363.17431334422594,-367.1358612026667,-379.172041868524,-376.4596619448501,-364.0510086346821,-368.49574086073795,-380.58199902769394,-377.45506877685415,-364.89591208952953
82,user83,-110.01806695134334,-110.01806695134337,-110.0180669513434,-110.01806695134331,-238.59777245158554,-345.4649493822098,-327.4711517103928,-220.00302483699093,-240.50760219573633,-349.02364377626077,-328.1348163804715,-223.7661087616354
83,user84,-354.53664171606835,-360.03440145701876,-360.03440145701876,-355.95856452215713,-360.9100634756375,-375.78226009608017,-369.76381977712623,-356.6948543927702,-359.6929490570572,-376.0928925713983,-370.2999996017407,-355.8227163498887
84,user85,-386.71605138585073,-386.8965944862477,-386.5557726567212,-386.43179826021475,-386.26657460739466,-387.34348867906544,-386.2288065312762,-385.5120031774406,-386.92933303161607,-387.8250518191971,-386.44203810837297,-386.8066184283686
85,user86,-228.91391436858936,-228.91391436858942,-228.9139143685894,-228.9139143685894,-277.2850824062398,-355.6544983136551,-343.3286317183186,-272.396112721111,-278.74775525486734,-356.14981393128454,-346.32609195646035,-275.13318681306765
86,user87,-376.94409758853243,-375.4671261832105,-375.17667691990306,-374.32274637930135,-381.2774772943624,-380.4565005381298,-381.3109168428544,-373.80261234403304,-381.2919800434292,-382.3795356114946,-381.32275124275964,-377.4407133635509
87,user88,-381.366769608546,-380.6273208182785,-379.3764716770135,-380.89527449897304,-380.77398429053324,-383.9100968810991,-381.11993687202477,-379.5941809241631,-379.7827407173441,-383.9969411913024,-381.3607780876793,-380.8217209994714
88,user89,-196.3254026945854,-196.3254026945854,-196.3254026945854,-196.3254026945854,-268.12533560479824,-348.8361451447045,-335.60202323184416,-250.91478771594691,-271.167464096142,-350.4348690369956,-336.7166592709336,-253.68686986671682
89,user9,-333.9944687864558,-333.9944687864558,-333.99446878645574,-333.5586790457712,-349.14225118364703,-372.0778410771989,-365.2722554147735,-341.8280825994596,-350.656404581542,-373.14237576835257,-367.1237832399018,-342.7448086924663
90,user90,-294.50783365810736,-294.50783365810736,-294.50783365810736,-294.50783365810736,-314.92120653334626,-367.77764659323697,-356.31108514858266,-311.60041822045775,-313.813672372268,-368.70811331684234,-355.7953322617216,-310.8067947120572
91,user91,-326.82330401149284,-326.82330401149284,-326.82330401149267,-326.8233040114931,-354.1117430258142,-376.3196407567912,-377.81951080922573,-349.9094439824768,-353.665200914684,-374.5256480088077,-378.38545156617744,-351.17241136424315
92,user92,-377.9880603480596,-377.05853825580544,-378.23184067624817,-378.25171653974604,-383.28726926793394,-384.5478530382839,-382.7060151552209,-378.37532329743993,-383.04984646476674,-385.7596202569145,-382.61239144076313,-378.9707320647165
93,user93,-380.1485901055891,-380.08787749609456,-379.7101708814435,-379.64398852292567,-380.96389554670117,-382.62660450633604,-383.7316400711629,-380.4887669981384,-380.3153552371767,-383.2833780414772,-383.0542468404429,-379.88176998205046
94,user94,-347.7612477611743,-347.7612477611743,-347.7612477611743,-347.7612477611742,-356.7480879331703,-375.0331661934871,-372.2934154192313,-355.2636184785643,-352.60941574066464,-376.48737615850524,-371.10601045353184,-352.8138428875822
95,user95,-386.09086059514925,-387.04672316453724,-386.5647373194832,-386.89188265743917,-385.5211349955702,-386.54745749956527,-385.5169480884036,-386.0908637607229,-385.59239267041727,-386.80427057827916,-386.6733281162041,-386.3437665155962
96,user96,-227.3619562695948,-227.3619562695948,-227.36195626959477,-227.3619562695948,-279.5718020962187,-358.46854990799216,-339.955310919675,-267.2173092143319,-281.99443036973713,-361.16069352158837,-342.8675231530975,-268.39110920053344
97,user97,-314.1711223048373,-314.1711223048373,-314.17112230483735,-312.748735890951,-332.44768568033174,-362.8621769090707,-361.740162475702,-326.3401405613877,-332.13683773297413,-362.04033532622947,-359.5042976693007,-325.20093273205333
98,user98,-140.46409523739058,-140.46409523739064,-140.46409523739058,-140.46409523739058,-220.63958305711216,-333.4151164478142,-327.22314125112337,-216.9377762182829,-223.28837136436286,-337.54230908638186,-327.40856773735396,-218.55990556517654
99,user99,-254.75289776408889,-254.7528977640889,-254.75289776408889,-254.7528977640889,-298.6095720511859,-358.67471110076843,-348.844953564763,-284.92491160843423,-302.60673031556433,-359.2281707924936,-348.7956568903475,-286.5757270768434
