player,main.filter_depth.value_path,main.filter_depth.value_max,main.filter_depth.value_sum,main.filter_depth.value_levelmean,main.filter_rank.value_path,main.filter_rank.value_max,main.filter_rank.value_sum,main.filter_rank.value_levelmean,main.filter_value.value_path,main.filter_value.value_max,main.filter_value.value_sum,main.filter_value.value_levelmean
user18,-592.5754959979826,-603.7115967491897,-601.1459921137575,-590.2671677314232,-623.6667811023124,-694.0131513164401,-673.5412982855007,-608.2872777411939,-627.180256902797,-695.5411616897411,-675.095608472405,-612.4552436909815
user19,-313.7802277638249,-364.0844639687675,-358.311000933016,-323.0480588367805,-456.34464684886626,-637.7138099690475,-603.4550239097146,-420.54658791613844,-455.2285137219371,-640.5893340361447,-604.2915402756237,-419.9221682050993
user2,-333.044337906763,-333.044337906763,-333.0443379067631,-333.0443379067631,-470.02542151466866,-647.9883935511226,-616.1816894979604,-444.5490385111185,-470.81284312028356,-647.9944731118658,-621.5088146842086,-448.7152124382709
user20,-360.7946258747196,-396.5316816570135,-373.88027067833275,-367.17635312284517,-488.91421510283243,-650.3286926176517,-614.8006639642524,-464.72293005128887,-497.221809321331,-653.3119521337699,-615.9961742527303,-470.40708902998495
user21,-298.23413226567266,-298.23413226567266,-298.23413226567266,-298.23413226567266,-459.93982730853855,-656.9217171753235,-615.7303618835205,-432.03971084452076,-465.89123049286235,-659.8884868335335,-621.7156501808549,-431.8238009596952
user22,-323.8390756033682,-323.8390756033681,-323.8390756033681,-323.83907560336814,-463.5767727291469,-639.0879989770214,-627.9075267742089,-457.0201463894831,-468.2357811607553,-639.56910673572,-623.9319989403522,-458.21976585369157
user23,-639.1518156850618,-650.3451283753698,-650.7597723808456,-644.9101473691612,-650.2095015953855,-699.3733360999736,-685.4008797833144,-656.5986014062976,-651.5477647304749,-699.2227826832059,-686.8745065264818,-657.8683719053365
user24,-490.06208211836196,-494.3699082946515,-494.36990829465157,-490.33362849051974,-552.3178113810993,-683.9176694694524,-654.5064225130557,-543.5708112799591,-545.7925163471498,-683.1762177230642,-657.1987500266607,-538.7527542245282
user25,-204.9599771277464,-204.95997712774647,-204.95997712774647,-204.95997712774653,-389.6825037108183,-636.9894762979851,-595.0106142686393,-357.62902729567963,-396.63500183379404,-644.0834469143506,-598.4676924395841,-358.00899763154166
user26,-275.56168873995074,-275.5616887399509,-275.5616887399508,-275.5616887399507,-464.6794513753931,-634.965608342462,-598.288050338298,-405.6312745434439,-467.17743971829896,-643.6025819901217,-608.5335515032127,-412.5428173263679
user27,-451.33611510321236,-451.33611510321236,-451.3361151032123,-451.3361151032123,-527.3376725184639,-656.0773091637338,-662.9555728456079,-532.7095768487782,-532.4339808402997,-658.6435717066067,-661.0762161998223,-530.5031774672425
user28,-547.0325036037914,-548.305608154983,-548.305608154983,-542.2357698990699,-591.4912171159904,-677.0002082136986,-671.0967795911148,-585.0507003129259,-594.298152147055,-682.6518776945225,-677.2203019676078,-586.9472195103679
user29,-725.6451040199581,-723.1119581736845,-723.7642829979632,-725.5044479879434,-722.822027010408,-721.3251045975196,-721.8331446844936,-721.5792270436945,-723.1119581736845,-724.7952387492603,-722.6898830484848,-721.8338616066349
user3,-319.4728358796729,-335.30824108000195,-335.30824108000195,-322.8443107030755,-486.881540257482,-664.1542318293914,-647.0803834507308,-470.38427441617006,-490.57479290381866,-665.2205641434879,-646.8996403936017,-471.464716257389
user30,-335.85536617766985,-347.7290508905621,-347.72905089056195,-343.4925817374452,-457.7904805978141,-656.9088549443293,-613.5570787742208,-444.13977397613917,-460.1973226801779,-661.2523199167169,-618.4852151017374,-444.93823483756717
user31,-522.3648555277257,-522.3648555277257,-522.3648555277257,-522.3648555277258,-597.1374950002796,-671.5750919517463,-663.5564833053963,-570.8094052292194,-603.1750111677836,-674.1121996621746,-664.843622595617,-571.3958644314164
user32,-589.6776420034498,-593.3252587402278,-593.3252587402276,-591.7150179142782,-634.3116649959156,-699.894287722393,-682.5283117716565,-618.5031008205444,-636.7443980530212,-704.0810374923431,-683.3737375563403,-620.1289379757445
