,player,main.filter_depth.value_path,main.filter_depth.value_max,main.filter_depth.value_sum,main.filter_depth.value_levelmean,main.filter_depth.value_EV,main.filter_rank.value_path,main.filter_rank.value_max,main.filter_rank.value_sum,main.filter_rank.value_levelmean,main.filter_rank.value_EV,main.filter_value.value_path,main.filter_value.value_max,main.filter_value.value_sum,main.filter_value.value_levelmean,main.filter_value.value_EV
41,user46,-216.77921112407978,-216.77921112407978,-216.77921112407975,-216.77921112407975,-259.7628259527277,-266.9366138002307,-351.79906719616287,-332.29184918709535,-256.42234123493523,-300.51638179057306,-269.63482125028276,-350.44450417202967,-336.3057932674046,-260.0205823071797,-301.5808253573706
42,user47,-292.9093238222302,-296.93578574096995,-296.93578574096995,-290.06606887835966,-290.3122680602794,-310.3618015527965,-362.62534051757575,-347.38155910627023,-305.03434169766166,-304.5842090854938,-312.76098003887694,-363.5801220294007,-347.64772166109157,-305.03434169766166,-304.94430543554046
43,user48,-315.5255504606234,-315.6039824910827,-315.60398249108266,-315.6039824910828,-318.49694938794636,-346.4173288625232,-374.89033783340113,-374.09955910140803,-339.1168889032039,-348.4038064729929,-344.07970306903746,-373.85968175449864,-372.5846916745897,-337.55671139426306,-346.48730359698123
44,user49,-385.9023246978132,-385.39650603732804,-385.3421697745925,-385.5372035785293,-387.67583515392454,-385.7002706165489,-384.93814604957237,-385.1206980619548,-385.83560162291377,-387.3949908449294,-385.5201457385807,-386.00761226092396,-384.76022929846465,-385.46366451662885,-387.4187825870005
45,user5,-306.49391245526425,-306.49391245526454,-306.49391245526414,-306.4939124552646,-306.0664190776924,-337.06042370042263,-365.88542759506817,-364.5725559322364,-328.9833642333081,-331.7173064216475,-337.09705531828513,-368.6503577226611,-365.07542640314267,-329.27926818640407,-336.3074939025667
46,user50,-388.0643710271046,-387.7445848342315,-386.3341659964846,-387.68780153625397,-388.0476401634158,-385.8236132163036,-385.7980441776588,-386.3590241207698,-385.7862035225922,-386.8809566096124,-387.48070960106963,-387.89559705567984,-386.27626707933535,-386.8861492970851,-387.83522391883577
47,user51,-159.7048079825967,-159.7048079825967,-159.70480798259672,-159.70480798259666,-202.79683745551225,-253.05912525565557,-349.6937360078287,-325.19559525069644,-234.25885145503662,-265.77165241694723,-257.5159386953349,-354.5513667826436,-328.94038870189047,-238.7451506753021,-271.0028600639728
48,user52,-85.91999262473607,-85.91999262473607,-85.9199926247361,-85.91999262473598,-147.22914487665165,-231.1912165497297,-340.89799583561603,-325.2628108501869,-200.31041945599858,-256.70108560255665,-232.58854312939008,-344.7799446748822,-327.216444589958,-201.94683539742726,-258.96959107491955
49,user53,-363.68408679719624,-363.68408679719636,-363.68408679719624,-363.68408679719636,-363.68408679719624,-371.2137153141858,-384.17357155030294,-379.2731997543946,-367.70866576736927,-369.90506842492147,-373.0527581175326,-383.5086936023642,-382.2108210284612,-369.3260170549656,-372.77912697369203
50,user54,-250.15739876689608,-250.52507723110924,-250.52507723110924,-250.5250772311092,-265.06848078616076,-298.4983397974739,-352.973265269543,-345.1700562921258,-277.54704397337974,-302.16250289679937,-299.42201119445286,-356.23452950431164,-345.11124830831426,-279.08660751505835,-300.0535069724487
51,user55,-320.2733577902518,-320.2733577902518,-320.27335779025185,-320.27335779025185,-316.6396062073723,-345.4011609467015,-372.76278530374015,-371.71123741631544,-340.83806274195285,-340.0327912632288,-347.0877073339133,-374.6920179156593,-370.4148724267632,-341.0763724126726,-341.6750222744344
52,user56,-358.4311850611045,-363.0190691875716,-362.77779514016885,-359.58580064580855,-358.6050117005606,-361.00885275690604,-374.3036949351368,-374.6683200577002,-361.84633252179975,-360.48904239280677,-361.2667191645897,-375.58490959054615,-373.90694072877176,-362.14900920480756,-360.9068419746266
53,user57,-328.6259348526054,-328.6259348526053,-328.6259348526054,-328.62593485260544,-326.848317348007,-350.85530786238286,-378.9767678161008,-365.720423671279,-338.3903142746962,-343.4038977545537,-351.60903210745374,-378.23673518206186,-367.8798908821872,-343.54891366606427,-344.65048697810204
54,user58,-388.23884756123454,-388.07233681996803,-388.0800780099375,-388.21908095627924,-388.2444103592714,-387.8113076136388,-387.16404986422856,-387.8432257718153,-387.4940113042812,-387.9284045570433,-387.90791546324255,-387.9891215198616,-387.96722967144154,-387.8873034068335,-387.8855555535619
55,user59,-165.22151912840735,-165.74409162571504,-165.74409162571504,-165.74409162571504,-211.57638488668076,-221.36065675609746,-346.4414191990448,-326.2438784696977,-218.19230023785198,-253.31177980302436,-223.31711353878043,-348.60364453564944,-328.1896772224616,-220.2827077072325,-253.44289292322992
56,user6,-242.33939259896897,-242.3393925989689,-242.3393925989689,-242.21522416494872,-265.3570308178144,-287.0000661980682,-361.1532851983394,-354.022779875,-281.5105884978106,-297.6123083096481,-286.7792860612548,-360.9620969287274,-355.59346181401423,-283.252255959888,-297.9110381544178
57,user60,-348.97021119208756,-348.97021119208756,-348.9702111920876,-348.97021119208756,-343.7892365426859,-357.4856707822558,-378.0424125481491,-374.4613991704652,-353.8990935877833,-357.39909618135954,-361.0930710254002,-379.51153585432206,-375.0265329271485,-353.41856698901796,-358.08218352859757
58,user61,-328.59186478892974,-328.59186478892974,-328.59186478892985,-328.59186478892974,-327.8036709900178,-341.20106265732903,-375.0654888997329,-368.2812952696532,-343.58419767313694,-336.8424222630835,-344.25782647533845,-375.938275748996,-367.29315027313686,-344.11212441532393,-339.93986675929244
59,user62,-341.9252796324201,-348.94236844427513,-348.46822219187544,-340.15217576361533,-341.92527963242003,-349.88818084770696,-369.0438937798123,-366.5198431344874,-343.74499411084554,-349.88818084770696,-349.888180847707,-369.5311161714803,-364.97458847574643,-342.9728327996272,-349.88818084770696
60,user63,-310.03425705230137,-310.03425705230137,-310.03425705230137,-307.64257155527656,-309.2680629741903,-325.1718117056291,-371.6052212799148,-366.60020746427466,-324.5670586557629,-323.82733975031795,-325.2258968512671,-371.88209952777714,-366.7270184472903,-323.999442190181,-323.7290029300202
61,user64,-348.27585775438973,-347.2536947047093,-348.2758577543891,-348.27585775438894,-344.02868735368145,-361.9736620717851,-376.2166332558448,-375.62218425041266,-358.05998459083963,-359.71811114892336,-363.6460211606613,-376.2785645274085,-376.4532401807971,-358.7914290266444,-361.44995432735544
62,user65,-190.07037011914946,-232.41728513159498,-221.69762968933654,-199.87354683604897,-231.0687713236652,-207.48209612576747,-328.6469559180212,-285.09770131380526,-206.53246884637244,-239.68600094923937,-207.7945329273995,-330.90352897014793,-285.8956910415939,-208.5206489292008,-242.31506506766192
63,user66,-228.36912041716826,-228.44042770330637,-228.44042770330637,-225.5448180440412,-254.31491912714853,-279.8043165156045,-357.9833293926721,-336.62653643705045,-258.1978593581453,-290.04821809310084,-284.13428792056817,-358.8197322845288,-339.70597689009014,-258.9579433939063,-292.913880036711
64,user67,-202.79365692854327,-202.7936569285433,-202.79365692854327,-202.79365692854327,-214.282717651124,-269.96564223455687,-342.07343430664474,-344.058869856773,-263.05345199584036,-273.9934569710743,-273.59037157920216,-346.2490518835324,-346.87082542279524,-266.56045124896923,-277.149417399034
65,user68,-296.2351340458362,-302.0764244810118,-302.0764244810118,-297.65793249522363,-300.5126794772671,-309.849822880711,-368.8600228799874,-352.6731508987644,-308.64783461675665,-306.42487823409243,-306.3853207241046,-366.61447509754043,-352.48444256985454,-307.19737970549824,-305.33275482918606
66,user69,-278.37687896432215,-278.3768789643222,-278.37687896432215,-278.3768789643222,-278.0101719908432,-332.828018818182,-370.43049655341787,-366.6971347956946,-325.89625206476165,-328.855987533123,-333.1913434552083,-371.46882607078425,-366.97266401876215,-325.1178979705391,-327.6625085411319
67,user7,-327.5313760300292,-327.5313760300293,-327.531376030029,-326.8083713330372,-324.5116683174786,-346.19990416099546,-373.5668696253476,-368.5727503806791,-340.68252494573215,-341.5282238433495,-346.2035606449653,-374.8510213196044,-369.18304776386805,-342.28342377707435,-343.1268274732992
68,user70,-227.97719432147903,-227.97719432147903,-227.97719432147906,-227.97719432147906,-225.26523896946316,-288.27225648953134,-357.7483430807213,-354.9372599104665,-276.44759406862806,-280.4985904135787,-291.2212975522818,-361.4698898950965,-355.2609840101099,-279.9178009667748,-281.2685099488371
69,user71,-154.10315620743708,-154.10315620743705,-154.10315620743705,-154.10315620743702,-195.17134161347937,-222.6966340437502,-341.79442606765423,-320.86190400916274,-203.49836100054168,-248.88476001176252,-224.59866448547197,-345.3968230962411,-323.18991656046416,-203.66774507706896,-248.11403374001196
70,user72,-226.90277027852127,-226.90277027852127,-226.90277027852127,-226.90277027852125,-244.26401052431908,-278.80934095347163,-346.4276086983744,-345.5143486011399,-273.06953806317085,-290.59515976657116,-282.5936400600574,-347.81037266121876,-343.68380854521575,-274.40272077445843,-292.929588734354
71,user73,-329.24827449476504,-329.24827449476504,-329.2482744947651,-329.1641980595467,-323.1725149386377,-330.7898324151351,-367.48536890693345,-357.51204604963294,-330.3586506061824,-321.9219116104786,-332.80992404498875,-369.55479092022796,-357.9203157790034,-332.3732046823969,-324.23484001885816
72,user74,-351.28527782519444,-351.1393442355604,-351.28527782519444,-351.28527782519444,-348.0818682664835,-362.3404492120886,-379.18466021036863,-373.82507164945395,-355.9502701664591,-358.0055257857312,-362.626784697553,-379.15680812302304,-374.636194929718,-355.1991527363345,-358.82497034071054
73,user75,-200.08178893463875,-200.08178893463872,-200.0817889346387,-200.0817889346387,-203.8316491971911,-267.36025626299096,-348.73914179181025,-342.77260441175724,-254.90878567843126,-273.77379131404206,-267.44591941671666,-350.08468937787194,-342.9479323443807,-257.97332943360885,-276.6731277507933
74,user76,-385.6082813614698,-386.9023669585876,-384.58812358694314,-385.3000371346931,-384.97599888677183,-384.42112852526185,-386.7206209949105,-384.48520070611204,-384.60533498685754,-385.4751963006142,-384.7140823788919,-386.7607730487986,-385.4813839936093,-385.2144566395561,-385.2967575158171
75,user77,-281.66986354538045,-282.7403118356729,-283.16011561536396,-278.6145140062912,-278.8409174675081,-297.5120235101328,-360.0660955536168,-345.71368366016424,-291.4266965791415,-287.72062516073555,-298.02576382991606,-362.27164146610744,-350.93696967222746,-297.50901529173774,-292.070813296447
76,user78,-213.4717273957376,-213.4717273957376,-213.47172739573762,-213.4717273957376,-220.6812337162464,-289.1738912612936,-352.86313441216913,-347.7002099790167,-273.91111607723064,-285.39712049649205,-291.7363807443176,-355.81903928879996,-349.66390330054656,-274.7711418589539,-286.42923389612884
77,user79,-348.23546128739787,-346.03596344896283,-348.23546128739787,-348.2354612873979,-343.4513147953947,-358.6161465688222,-375.33934098078345,-374.7360951921482,-355.1016360168372,-355.62109745429603,-360.1774774501865,-378.3398114526439,-375.29038616135546,-356.22978503209737,-356.58140168887525
78,user8,-244.89792244536605,-242.97892482599238,-246.06569048998634,-243.94996510564877,-250.1443673304558,-266.7592707633705,-340.3451389498165,-337.2096358924969,-270.52869077333713,-268.1251226601539,-269.6610569154903,-342.8662664476143,-338.78338722755507,-272.42662706664083,-271.0902651266833
79,user80,-383.03653925035275,-384.59876273783556,-384.44235322059006,-384.59876273785534,-382.75033977575066,-381.7108504021176,-387.383582128594,-385.741771175251,-383.1714428227327,-382.34254263604777,-383.0991357608312,-387.68610125926267,-385.8222876301509,-384.35526550613275,-382.6319434198991
80,user81,-292.0659253290026,-294.3555731276534,-294.3555731276533,-291.4029573363005,-287.2470173083104,-311.63821535080643,-366.19504012381464,-350.9677125981287,-304.40869884874377,-299.10066798771635,-312.5446772454034,-366.49113277297243,-350.5838030534907,-304.4776216150524,-300.75798806124163
81,user82,-356.10105062133476,-356.07574849997764,-356.10105062133476,-356.05740449494385,-356.8114266979266,-367.3532194904007,-381.62520810446955,-376.4951956036571,-363.6854589616839,-366.4278646189969,-366.7366264886796,-383.26784649878806,-377.92924336725326,-364.60718193245816,-365.9274166937702
82,user83,-326.90032499304397,-326.90032499304397,-326.9003249930443,-326.90032499304397,-326.78794347661136,-352.6865753942509,-375.7209975622134,-371.4021840631693,-347.05702800294324,-350.23711013444984,-352.24047924915476,-375.1685147125963,-371.5792107683838,-347.05153918890414,-349.47169097100505
83,user84,-222.05108870090788,-222.05108870090788,-222.05108870090788,-222.05108870090785,-257.34873164902444,-278.67594015000395,-347.4600945685684,-350.30639619071957,-271.61978797602194,-293.0162199027416,-280.76552133043066,-350.7141208318054,-350.1012779706744,-274.6218885358884,-291.3916878803133
